id,date,owner,lane,what,ruler,delta,n_seeds,sd,verdict,artifacts,notes
t95,2026-08-18,max,gbdt-features,lv127/ident5/both at shipped depth,E_real,+0.0022,3,,REJECT,,"scope: lv127/ident5 as v8-config GBDT features at shipped depth only — not tested in the CE, not at other depths. best of three arms; all under 0.004 bar; E_full read lv127 at +0.011 = mining artifact #3"
t96,2026-08-19,max,training-mix,llm dose-response: llm0 vs shipped 300k pool,E_real,+0.00746,3,0.00037,OVERTURNED,,"monotone DOWN in llm dose, 5 doses perfectly ordered; v10 trains on human rows only — OVERTURNED by v10-lb: LB says pooling pays (v10 -0.0216 vs v6); the E_real reading was the easy-negative-regime bias, sign-inverted"
t98,2026-08-19,max,ce-retrain,CE fp16 fix + full curriculum (A + human B),E_real,,,,REVISIT,kaggle:ecup26-t98 (ce-model-llm = healthy Stage-A ckpt),"deficient: MAX_TRAIN_MINUTES=520 consumed entirely by Stage A (T4 = 8.7h/epoch), both Stage B epochs broke on the FIRST batch — curriculum still never finished; healthy parts: fp16 fix works (banner cc=(7,5)->fp16), Stage A clean (32k steps, loss .663->.523); fix: t98b resumes Stage B only from the Stage-A checkpoint; decision rule unchanged (both rulers via t97b)"
t98b,2026-08-20,max,ce-retrain,"Stage B (human fine-tune) resumed from t98's Stage-A ckpt, e5-base",E_real-leakfree,+0.15522,1,,ACCEPT-RULE,kaggle:ecup26-t98b; outputs/out-t98b/ce_scores_ep0.npz,"internal val MACRO .6620 (resume) -> .7569 (ep0) -> .7681 (ep1); priced on the LEAK-FREE E_real (see COOKBOOK 'the ruler cannot measure a human-fine-tuned CE'): alone .59242 vs crippled .43720 (+0.15522) and vs t98's Stage-A .48162 (+0.11080), blended(w=0.5) .57464 (+0.06396); gate 4/4 on both rulers; paired same-rows comparison so n_seeds=1 is the design; Stage B is worth MORE than the fp16 fix was"
t97b-v2,2026-08-20,max,blend,price t98 Stage-A ckpt vs crippled CE on the frozen 415k dump,E_real+E_mix,+0.042,1,,ACCEPT-RULE,outputs/out-t97b-v2/ (scores npz),"PRE-REGISTERED RULE PASSES 4/4: alone E_real +0.0419 / E_mix +0.0295, blended E_real +0.0191 / E_mix +0.0247 (all >0.004) -> t98 Stage-A CE REPLACES the crippled CE in v11; weight curve argmax exactly w=0.5 (E_full said w=0.9 - its 3rd blend-weight lie); paired same-rows comparison so n_seeds=1 is the design; v11 build waits for t98b (Stage B may improve further)"
t101-v1,2026-08-20,max,gbdt-features,per-axis features v1,,,,,FAILED,,OOM at llm shard 5: 1.07M item axis tuples held across the loop; v2 extracts per shard and frees (the standing OOM pattern); axis extraction itself verified (sane both-rates logged)
axis-sign,2026-08-20,max,diagnosis,"axis-sign map: P(MATCH|conflict) per category x axis on ALL 365k human pairs (local, no model in loop)",organiser-labels,,,,LANDED,team/experiments/axis_sign_map.csv,"pre-registered rule: inverted = P(m|conflict)>prevalence & n>=200; usable-negative = P(m|conflict)<0.5*P(m|agree) & n>=200; RESULT: 138 cells, 69 usable-negative (e.g. pets pack .016 vs .387), 8 INVERTED concentrated in the weak categories (Yuvelirnye code .307 & size .142 vs prev .124; Odezhda codes; Mebel stems; Elektronika size; Galantereya volume); jewellery shared-code-STEM-differing-suffix = strongest positive signal measured (.577 vs .124); pooled conflict features mix the signs -> per-axis features required"
t101,2026-08-20,max,gbdt-features,13 per-axis conflict/agreement columns at shipped depth (v8 vs +axis),E_real+E_mix,+0.00753,3,0.00110,REVISIT,kaggle:ecup26-t101,"CONTESTED by the pre-registered rule: E_real +0.00753 at 3/3 (sd 0.0011, clears the 0.004 bar cleanly) but E_mix078 -0.00189 at 2/3 so the sign guard fails; NOTE the guard was underpowered by construction - E_mix's own scatter is sd 0.00648, 3.4x the effect it was asked to sign, so it could not have discriminated (protocol lesson, COOKBOOK); ALSO the prediction on record FAILED - gains did NOT land in the inverted cells (Odezhda -0.0007, Yuvelirnye -0.0030, Galantereya +0.0012) but in Avtotovary +0.0221, Bytovaya khimiya +0.0213, Mebel +0.0170, Produkty +0.0133, so the axis-sign mechanism is NOT what fired; before re-run: power the E_mix guard (more stacks) or drop it and take the question to the LB"
t102,2026-08-20,max,ce-large,multilingual-e5-large full curriculum on the RTX PRO 6000 box,E_real-leakfree,+0.18916,1,,ACCEPT-RULE,box:/marimo/ce_scores_t102.npz -> outputs/out-t102/,"full curriculum finished in 183 min on the Blackwell; internal val .6719 (Stage A) -> .7676 -> .7770; leak-free E_real alone .62636 (+0.18916 vs crippled), blend(w=0.5) .59280 (+0.08212); PRE-REGISTERED SIZE GATE MET: beats t98b e5-base ep0 by +0.03394 CE-alone (bar was 0.004); COST: 4x slower than e5-base (415k pairs in 16 min vs 4 min on the same GPU) so the grader time budget, not the score, is what decides whether it can ship"
failstudy,2026-08-20,max,diagnosis,WHY WE FAIL: 900 organiser-labelled pairs hand-read by 6 opus agents (600 low-rank misses + 300 high-rank FPs),hand-read,,,,LANDED,outputs/failstudy/ + reports/,"misses: 63% product-card-vs-SKU convention conflicts, 19% thin-side (CE rescues); FPs: worst tier 81% label noise, uniform tier 44% textually irrecoverable (~3400 of 7682 = measured ceiling); 5 convergent fixes ranked S1 key-canonicalisation (schema split measured 72/0) > S3 fitment-span > S2 cross-field/code-set > S4 numeric canon > S5 homoglyph; blend has a CE-veto problem (cross-family -> LB-only); full note experiments/failstudy_why-we-fail.md"
t99,2026-08-19,max,export,v10 export with human-only training rows,,,,,LANDED,submission/dist/submission_v10.zip,"built + smoke-tested (133.4MB, 2017 distinct scores, no fallback); submitted same day — result in row v10-lb"
